t;iL;iG;iSd;slope
0;17;0;3;450
0;17;0;4;450
0;17;0;5;450
0;17;0;6;450
0;17;0;7;450
0;17;0;8;450
0;17;1;0;450
0;17;1;1;450
0;17;1;2;450
0;17;1;3;450
0;17;1;4;450
0;17;1;5;450
0;17;1;6;450
0;17;1;7;450
0;17;1;8;450
0;17;2;0;450
0;17;2;1;450
0;17;2;2;450
0;17;2;3;450
0;17;2;4;450
0;17;2;5;450
0;17;2;6;450
0;17;2;7;450
0;17;2;8;450
0;17;3;0;450
0;17;3;1;450
0;17;3;2;450
0;17;3;3;450
0;17;3;4;450
0;17;3;5;450
0;17;3;6;450
0;17;3;7;450
0;17;3;8;450
0;17;4;0;450
0;17;4;1;450
0;17;4;2;450
0;17;4;3;450
0;17;4;4;450
0;17;4;5;450
0;17;4;6;450
0;17;4;7;450
0;17;4;8;450
0;17;5;0;450
0;17;5;1;450
0;17;5;2;450
0;17;5;3;450
0;17;5;4;450
0;17;5;5;450
0;17;5;6;450
0;17;5;7;450
0;17;5;8;450
0;18;0;0;450
0;18;0;1;450
0;18;0;2;450
0;18;0;3;450
0;18;0;4;450
0;18;0;5;450
0;18;0;6;450
0;18;0;7;450
0;18;0;8;450
0;18;1;0;450
0;18;1;1;450
0;18;1;2;450
0;18;1;3;450
0;18;1;4;450
0;18;1;5;450
0;18;1;6;450
0;18;1;7;450
0;18;1;8;450
0;18;2;0;450
0;18;2;1;450
0;18;2;2;450
0;18;2;3;450
0;18;2;4;450
0;18;2;5;450
0;18;2;6;450
0;18;2;7;450
0;18;2;8;450
0;18;3;0;450
0;18;3;1;450
0;18;3;2;450
0;18;3;3;450
0;18;3;4;450
0;18;3;5;450
0;18;3;6;450
0;18;3;7;450
0;18;3;8;450
0;18;4;0;450
0;18;4;1;450
0;18;4;2;450
0;18;4;3;450
0;18;4;4;450
0;18;4;5;450
0;18;4;6;450
0;18;4;7;450
0;18;4;8;450
0;18;5;0;450
0;18;5;1;450
0;18;5;2;450
0;18;5;3;450
0;18;5;4;450
0;18;5;5;450
0;18;5;6;450
0;18;5;7;450
0;18;5;8;450
0;19;0;0;450
0;19;0;1;450
0;19;0;2;450
0;19;0;3;450
0;19;0;4;450
0;19;0;5;450
0;19;0;6;450
0;19;0;7;450
0;19;0;8;450
0;19;1;0;450
0;19;1;1;450
0;19;1;2;450
0;19;1;3;450
0;19;1;4;450
0;19;1;5;450
0;19;1;6;450
0;19;1;7;450
0;19;1;8;450
0;19;2;0;450
0;19;2;1;450
0;19;2;2;450
0;19;2;3;450
0;19;2;4;450
0;19;2;5;450
0;19;2;6;450
0;19;2;7;450
0;19;2;8;450
0;19;3;0;450
0;19;3;1;450
0;19;3;2;450
0;19;3;3;450
0;19;3;4;450
0;19;3;5;450
0;19;3;6;450
0;19;3;7;450
0;19;3;8;450
0;19;4;0;450
0;19;4;1;450
0;19;4;2;450
0;19;4;3;450
0;19;4;4;450
0;19;4;5;450
0;19;4;6;450
0;19;4;7;450
0;19;4;8;450
0;19;5;0;450
0;19;5;1;450
0;19;5;2;450
0;19;5;3;450
0;19;5;4;450
0;19;5;5;450
0;19;5;6;450
0;19;5;7;450
0;19;5;8;450
0;20;0;0;450
0;20;0;1;450
0;20;0;2;450
0;20;0;3;450
0;20;0;4;450
0;20;0;5;450
0;20;0;6;450
0;20;0;7;450
0;20;0;8;450
0;20;1;0;450
0;20;1;1;450
0;20;1;2;450
0;20;1;3;450
0;20;1;4;450
0;20;1;5;450
0;20;1;6;450
0;20;1;7;450
0;20;1;8;450
0;20;2;0;450
0;20;2;1;450
0;20;2;2;450
0;20;2;3;450
0;20;2;4;450
0;20;2;5;450
0;20;2;6;450
0;20;2;7;450
0;20;2;8;450
0;20;3;0;450
0;20;3;1;450
0;20;3;2;450
0;20;3;3;450
0;20;3;4;450
0;20;3;5;450
0;20;3;6;450
0;20;3;7;450
0;20;3;8;450
0;20;4;0;450
0;20;4;1;450
0;20;4;2;450
0;20;4;3;450
0;20;4;4;450
0;20;4;5;450
0;20;4;6;450
0;20;4;7;450
0;20;4;8;450
0;20;5;0;450
0;20;5;1;450
0;20;5;2;450
0;20;5;3;450
0;20;5;4;450
0;20;5;5;450
0;20;5;6;450
0;20;5;7;450
0;20;5;8;450
1;0;0;0;450
1;0;0;1;450
1;0;0;2;450
1;0;0;3;450
1;0;0;4;450
1;0;0;5;450
1;0;0;6;450
1;0;0;7;450
1;0;0;8;450
1;0;1;0;450
1;0;1;1;450
1;0;1;2;450
1;0;1;3;450
1;0;1;4;450
1;0;1;5;450
1;0;1;6;450
1;0;1;7;450
1;0;1;8;450
1;0;2;0;450
1;0;2;1;450
1;0;2;2;450
1;0;2;3;450
1;0;2;4;450
1;0;2;5;450
1;0;2;6;450
1;0;2;7;450
1;0;2;8;450
1;0;3;0;450
1;0;3;1;450
1;0;3;2;450
1;0;3;3;450
1;0;3;4;450
1;0;3;5;450
1;0;3;6;450
1;0;3;7;450
1;0;3;8;450
1;0;4;0;450
1;0;4;1;450
1;0;4;2;450
1;0;4;3;450
1;0;4;4;450
1;0;4;5;450
1;0;4;6;450
1;0;4;7;450
1;0;4;8;450
1;0;5;0;450
1;0;5;1;450
1;0;5;2;450
1;0;5;3;450
1;0;5;4;450
1;0;5;5;450
1;0;5;6;450
1;0;5;7;450
1;0;5;8;450
1;1;0;0;450
1;1;0;1;450
1;1;0;2;450
1;1;0;3;450
1;1;0;4;450
1;1;0;5;450
1;1;0;6;450
1;1;0;7;450
1;1;0;8;450
1;1;1;0;450
1;1;1;1;450
1;1;1;2;450
1;1;1;3;450
1;1;1;4;450
1;1;1;5;450
1;1;1;6;450
1;1;1;7;450
1;1;1;8;450
1;1;2;0;450
1;1;2;1;450
1;1;2;2;450
1;1;2;3;450
1;1;2;4;450
1;1;2;5;450
1;1;2;6;450
1;1;2;7;450
1;1;2;8;450
1;1;3;0;450
1;1;3;1;450
1;1;3;2;450
1;1;3;3;450
1;1;3;4;450
1;1;3;5;450
1;1;3;6;450
1;1;3;7;450
1;1;3;8;450
1;1;4;0;450
1;1;4;1;450
1;1;4;2;450
1;1;4;3;450
1;1;4;4;450
1;1;4;5;450
1;1;4;6;450
1;1;4;7;450
1;1;4;8;450
1;1;5;0;450
1;1;5;1;450
1;1;5;2;450
1;1;5;3;450
1;1;5;4;450
1;1;5;5;450
1;1;5;6;450
1;1;5;7;450
1;1;5;8;450
1;2;0;0;450
1;2;0;1;450
1;2;0;2;450
1;2;0;3;450
1;2;0;4;450
1;2;0;5;450
1;2;0;6;450
1;2;0;7;450
1;2;0;8;450
1;2;1;0;450
1;2;1;1;450
1;2;1;2;450
1;2;1;3;450
1;2;1;4;450
1;2;1;5;450
1;2;1;6;450
1;2;1;7;450
1;2;1;8;450
1;2;2;0;450
1;2;2;1;450
1;2;2;2;450
1;2;2;3;450
1;2;2;4;450
1;2;2;5;450
1;2;2;6;450
1;2;2;7;450
1;2;2;8;450
1;2;3;0;450
1;2;3;1;450
1;2;3;2;450
1;2;3;3;450
1;2;3;4;450
1;2;3;5;450
1;2;3;6;450
1;2;3;7;450
1;2;3;8;450
1;2;4;0;450
1;2;4;1;450
1;2;4;2;450
1;2;4;3;450
1;2;4;4;450
1;2;4;5;450
1;2;4;6;450
1;2;4;7;450
1;2;4;8;450
1;2;5;0;450
1;2;5;1;450
1;2;5;2;450
1;2;5;3;450
